yumagr	cikagr	yumen	yumboy	sekind	rnkL	rnkA	rnkB	 rnkE 	cins
61.39	42.3	44.10	56.69	 77.79   	56.75	8.15	17.79	 60.03   	1
54.58	38.6	41.96	55.21	 76.00   	53.65	8.20	19.60	 57.70   	1
53.86	37.9	42.02	54.00	 77.81   	47.09	11.55	20.96	 52.82   	0
50.69	33.6	41.16	52.16	 78.91   	49.25	8.01	18.40	 53.18   	0
59.61	42.1	43.59	55.60	 78.40   	54.11	8.10	19.38	 58.04   	0
54.16	37.6	42.30	53.91	 78.46   	51.84	9.90	19.49	 56.26   	0
59.43	40.8	42.41	58.72	 72.22   	42.74	10.52	19.20	 48.02   	1
56.06	39.3	43.33	53.11	 81.59   	47.54	11.60	20.29	 52.97   	1
55.19	38.1	47.58	56.17	 84.71   	46.42	11.44	21.38	 52.37   	1
52.8	35.9	40.84	55.80	 73.19   	47.87	6.38	14.53	 50.43   	1
58.9	41.9	43.00	56.43	 76.20   	49.50	7.16	16.66	 52.72   	1
52.86	35.2	41.43	54.29	 76.31   	56.52	3.23	13.58	 58.22   	0
56.09	38.9	42.24	56.16	 75.21   	53.03	8.35	18.51	 56.78   	0
55.01	39.2	42.75	53.13	 80.46   	54.66	7.55	18.68	 58.26   	1
63.56	42.9	44.06	58.71	 75.05   	52.73	8.54	17.55	 56.23   	1
63.06	44.0	43.84	57.56	 76.16   	51.93	9.23	15.66	 55.02   	0
60.65	41.4	43.01	57.18	 75.22   	53.55	6.13	16.24	 56.29   	1
63.94	44.1	44.19	57.94	 76.27   	49.18	11.01	18.39	 53.65   	1
57.11	39.1	41.30	57.00	 72.46   	46.43	8.15	17.28	 50.21   	1
57.80	39.1	42.21	55.43	 76.15   	51.02	12.62	23.27	 57.48   	0
55.77	39.3	40.11	87.15	 46.02   	43.33	10.27	17.59	 47.88   	1
61.48	43.3	43.34	58.00	 74.72   	51.06	8.18	19.68	 55.33   	0
57.57	38.9	42.42	56.80	 74.68   	50.56	8.75	15.63	 53.64   	0
56.52	37.7	42.28	56.09	 75.38   	44.31	9.72	18.78	 49.10   	0
53.69	40.1	42.04	55.08	 76.33   	47.87	9.2	16.69	 51.52   	0
64.10	48.8	45.01	57.26	 78.61   	57.21	9.37	20.23	 61.40   	1
56.20	40.0	42.64	55.87	 76.32   	47.11	9.95	20.02	 52.15   	1
62.22	42.9	44.27	56.26	 78.69   	47.66	11.32	19.63	 52.77   	0
56.43	39.5	41.20	59.44	 69.31   	44.72	8.95	18.39	 49.17   	1
56.86	39.4	43.14	54.17	 79.64   	51.58	9.27	17.01	 55.10   	1
58.74	41.0	42.21	58.59	 72.04   	41.25	11.78	19.81	 47.25   	1
57.13	41.7	41.54	60.68	 68.46   	48.43	5.61	14.76	 50.94   	0
56.50	41.0	42.46	56.53	 75.11   	52.63	10.51	21.49	 57.81   	1
61.85	42.0	42.92	59.60	 72.01   	48.71	8.19	12.00	 50.83   	0
59.16	41.8	43.82	54.50	 80.40   	54.87	7.85	18.48	 58.43   	1
54.87	42.2	41.44	56.79	 72.97   	46.89	8.78	17.99	 50.98   	1
58.17	41.5	42.35	56.26	 75.28   	47.62	9.43	17.20	 51.50   	0
58.22	42.1	42.12	58.66	 71.80   	50.88	8.78	18.21	 54.75   	1
55.99	38.1	42.12	57.09	 73.78   	51.19	7.09	17.00	 54.40   	0
55.55	41.7	42.24	55.46	 76.16   	50.37	8.65	17.68	 54.08   	1
57.44	40.2	42.88	54.97	 78.01   	48.23	9.48	17.38	 52.14   	0
56.61	38.7	41.62	57.27	 72.67   	43.14	10.29	16.75	 47.41   	0
57.69	39.8	42.08	56.81	 74.07   	50.10	7.16	16.17	 53.13   	0
62.77	46.0	44.18	57.96	 76.22   	50.93	12.01	23.36	 57.30   	1
56.67	38.4	42.03	56.04	 75.00   	49.82	7.25	15.51	 52.68   	0
56.80	41.7	42.94	54.59	 78.66   	54.70	8.36	20.44	 58.99   	0
53.55	36.1	41.39	55.41	 74.70   	46.53	9.19	17.33	 50.50   	0
54.10	37.5	41.84	51.92	 80.59   	48.07	10.61	20.95	 53.50   	1
54.59	37.7	47.62	57.30	 83.11   	50.56	9.72	18.74	 54.79   	1
58.39	42.7	42.55	57.89	 73.50   	45.16	10.56	18.25	 49.84   	0
57.14	40.5	47.92	56.69	 84.53   	50.24	8.03	20.19	 54.74   	1
55.21	37.2	42.34	55.10	 76.84   	52.63	7.79	19.24	 56.58   	0
56.69	37.9	43.17	53.89	 80.11   	52.68	8.56	18.42	 56.46   	0
56.94	39.7	42.35	55.10	 76.86   	49.16	9.19	19.48	 53.67   	0
54.61	36.6	42.19	53.97	 78.17   	48.08	8.22	13.80	 50.69   	0
55.11	49.3	41.74	57.04	 73.18   	51.72	5.12	15.53	 54.24   	0
51.38	30.3	40.85	53.09	 76.94   	46.45	10.54	19.66	 51.53   	1
52.28	36.1	41.47	54.02	 76.77   	52.42	8.51	18.95	 56.39   	0
57.18	41.2	45.23	50.25	 90.01   	43.70	10.27	20.08	 49.18   	1
61.76	42.2	46.54	52.21	 89.14   	46.05	9.97	19.24	 50.89   	1
54.45	37.8	48.74	55.78	 87.38   	52.98	7.07	16.92	 56.06   	0
50.36	36.2	41.64	52.32	 79.59   	53.78	6.09	17.44	 56.86   	0
63.50	43.6	43.93	57.92	 75.85   	53.62	9.37	20.75	 58.25   	0
54.77	37.1	43.07	53.41	 80.64   	50.41	8.65	16.18	 53.64   	0
56.60	39.6	41.95	56.81	 73.84   	49.11	7.89	17.32	 52.67   	0
58.13	43.0	42.14	57.14	 73.75   	54.90	6.07	17.02	 57.80   	1
57.87	41.2	43.17	55.91	 77.21   	51.67	8.26	17.20	 55.08   	1
53.79	36.1	41.83	54.93	 76.15   	47.93	8.66	18.58	 52.13   	0
59.66	37.2	43.19	57.15	 75.57   	51.25	7.34	16.65	 54.38   	1
54.70	37.2	41.33	59.00	 70.05   	50.51	3.33	11.03	 51.81   	1
57.03	39.1	41.58	60.07	 69.22   	51.60	6.48	13.57	 53.75   	1
56.37	42.2	42.97	54.89	 78.28   	48.16	11.76	22.09	 54.27   	1
59.39	39.8	42.32	58.44	 72.42   	54.98	5.68	15.24	 57.34   	0
54.38	39.9	41.52	55.65	 74.61   	44.80	11.33	20.56	 50.58   	0
56.63	43.1	42.33	56.57	 74.83   	52.23	5.59	14.64	 54.53   	0
56.46	37.1	42.11	57.61	 73.09   	48.07	6.73	17	 51.43   	1
52.78	37.0	40.78	56.43	 72.27   	49.73	5.17	15.96	 52.48   	1
54.80	38.0	41.95	55.68	 75.34   	44.24	10.53	17.85	 48.85   	1
54.46	38.2	40.81	55.51	 73.52   	53.80	5.82	14.23	 55.95   	0
56.91	35.2	41.65	57.38	 72.59   	43.17	8.67	12.85	 45.87   	0
53.02	39.1	40.69	55.78	 72.95   	40.51	9.73	15.89	 44.59   	1
56.82	37.5	42.3	57.17	 73.99   	44.01	9.60	19.59	 49.12   	0
60.05	42.4	42.58	57.33	 74.27   	53.74	8.46	16.42	 56.83   	0
61.23	37.9	43.49	58.22	 74.70   	54.98	6.26	17.37	 58.00   	1
65.40	46.2	43.33	63.50	 68.24   	46.08	6.58	14.22	 48.67   	1
56.16	36.0	41.9	57.56	 72.79   	44.08	8.84	12.93	 46.78   	0
53.45	42.5	44.49	53.64	 82.94   	45.65	9.44	11.66	 48.05   	0
61.03	42.3	43.16	58.53	 73.74   	47.13	9.40	14.90	 50.32   	1
59.52	43.2	43.51	56.03	 77.65   	52.12	9.39	20.96	 56.96   	0
51.59	36.1	43.56	57.30	 76.02   	49.26	10.73	21.50	 54.81   	0
55.34	37.7	41.55	56.03	 74.16   	44.87	11.89	16.67	 49.32   	0
54.21	36.8	41.78	55.78	 74.90   	43.38	11.96	19.78	 49.15   	1
53.99	38.7	42.00	55.04	 76.31   	47.96	9.48	17.69	 51.99   	0
58.97	37.2	42.39	57.11	 74.23   	46.63	9.96	19.85	 51.65   	0
62.21	33.9	42.44	61.88	 68.58   	41.97	10.3	18.30	 46.93   	0
54.41	38.1	46.90	59.38	 78.98   	48.47	4.89	12.95	 50.41   	0
60.57	42.4	43.10	57.53	 74.92   	50.23	9.74	17.11	 53.95   	1
59.90	42.6	42.15	59.06	 71.37   	43.99	10.38	19.71	 49.31   	0
57.40	42.9	42.39	57.41	 73.84   	45.59	10.83	20.25	 51.05   	1
53.43	37.0	41.74	54.50	 76.59   	40.51	11.45	20.00	 46.61   	0
63.31	42.5	43.46	59.56	 72.97   	54.24	5.64	14.13	 56.33   	0
61.13	42.4	43.61	55.10	 79.15   	47.20	9.59	18.10	 51.45   	1
58.30	37.3	43.16	57.55	 75.00   	49.84	9.35	17.09	 53.51   	1
52.01	40.3	41.53	54.14	 76.71   	43.23	12.52	20.62	 49.51   	0
61.64	43.0	43.68	57.21	 76.35   	46.85	11.84	21.49	 52.89   	1
57.23	40.6	42.71	57.15	 74.73   	49.86	8.38	18.16	 53.72   	1
60.29	41.9	43.16	57.12	 75.56   	48.28	9.93	20.18	 53.26   	0
61.24	40.8	43.22	58.57	 73.79   	50.28	7.05	17.73	 53.78   	0
52.81	34.1	40.81	55.63	 73.36   	42.85	10.39	17.93	 47.60   	1
55.19	37.0	43.24	52.70	 82.05   	57.85	6.68	18.05	 60.97   	1
59.01	41.2	42.59	57.59	 73.95   	52.25	8.11	19.50	 56.36   	0
55.56	46.8	44.16	59.65	 74.03   	49.14	11.16	20.26	 54.31   	0
55.43	36.5	41.79	55.74	 74.97   	52.67	6.51	15.77	 55.36   	0
59.43	42.4	42.91	57.55	 74.56   	50.88	10.26	17.78	 54.87   	1
62.17	46.1	44.01	58.61	 75.09   	45.90	10.35	18.57	 50.58   	1
55.00	36.5	43.33	52.35	 82.77   	52.71	9.81	19.87	 57.18   	0
58.61	42.6	43.67	54.73	 79.79   	52.59	11.04	21.93	 58.04   	0
54.76	41.8	41.78	54.64	 76.46   	43.12	13.55	21.79	 50.18   	0
59.12	37.3	44.04	54.78	 80.39   	54.17	10.53	21.05	 59.06   	1
60.47	41.9	43.38	56.69	 76.52   	49.44	12.98	23.29	 56.17   	0
53.71	35.1	42.47	54.33	 78.17   	47.98	9.13	18.63	 52.27   	1
51.63	36.4	41.44	54.16	 76.51   	46.84	8.54	17.37	 50.68   	0
52.49	37.6	41.16	54.91	 74.96   	45.13	9.53	14.2	 48.26   	0
54.09	36.6	41.89	55.55	 75.41   	58.73	2.83	12.38	 60.09   	1
55.05	39.6	42.04	55.57	 75.65   	48.54	5.99	13.69	 50.79   	0
